date,close,ret_1d,ret_5d,ret_20d,rsi_14,macd_hist,natr_14,bb_position,mvrv_zscore,nupl,nvt,puell,sopr,ntv_ratio,funding_rate,cot_net_frac,dvol,month_sin,month_cos,weekday,y_logret_fwd1
2024-09-04,57970.9,0.008369626775024829,-0.019695603710940986,0.0074423805817714975,43.78036606731333,-279.46820064093,4.370172350753474,-0.47352722980041884,1.4873,0.4572,171.58,0.745,0.9948,-0.005866473717369635,5.9633333333333336e-06,-0.7947794779477948,55.73,-1.0,-1.8369701987210297e-16,2,-0.03138033882672037
2024-09-05,56180.0,-0.03138033882672037,-0.04853567757018571,-0.04684893658220275,39.35647959429486,-366.7240036816821,4.52855453932237,-0.719099610315576,1.38,0.44,166.05,0.668,0.9942,-0.034963727215106315,4.510333333333333e-05,-0.7947794779477948,56.79,-1.0,-1.8369701987210297e-16,3,-0.040262751080288636
2024-09-06,53962.97,-0.040262751080288636,-0.060035013331031,-0.09754361104470123,34.68408281244494,-538.3590537860656,4.967936507795066,-0.9485402042698943,1.2531,0.4176,159.09,0.731,0.9964,-0.0438510676984642,1.2356666666666665e-05,-0.7947794779477948,59.46,-1.0,-1.8369701987210297e-16,4,0.0036604367595428834
2024-09-07,54160.86,0.0036604367595428834,-0.08781592415229195,-0.07582559476815472,35.4210554720959,-598.542406423361,4.741887556961468,-0.8062167510718825,1.2655,0.4196,160.29,0.784,0.998,-0.03698643570992262,-5.142333333333334e-05,-0.7947794779477948,58.84,-1.0,-1.8369701987210297e-16,5,0.01300733247035669
2024-09-08,54869.95,0.01300733247035669,-0.04660569390208464,-0.07997632473374536,38.11554269924289,-551.7272945124262,4.5661477800929,-0.6366926993393125,1.3094,0.4272,163.38,0.709,1.0081,-0.011663740595485025,-2.4996666666666667e-05,-0.7947794779477948,59.32,-1.0,-1.8369701987210297e-16,6,0.03882199877924005
2024-09-09,57042.0,0.03882199877924005,-0.016153321897869652,-0.03398347625591191,45.60268051438905,-345.68155588622767,4.51632118817464,-0.10290157025418334,1.4344,0.4485,171.51,0.676,0.9989,0.033613614012039036,-6.189333333333333e-05,-0.7947794779477948,58.82,-1.0,-1.8369701987210297e-16,0,0.010359360363052208
2024-09-10,57635.99,0.010359360363052208,0.025586377291903085,-0.05928126827900691,47.47422730333845,-150.55462771204066,4.355978557106112,0.09241786198885782,1.4633,0.4543,174.96,0.53,0.999,-0.0003943715684983401,-3.361333333333333e-05,-0.8371053909664886,57.18,-1.0,-1.8369701987210297e-16,1,-0.005183618786241656
2024-09-11,57338.0,-0.005183618786241656,0.06066550958594998,-0.051625444737670584,46.60788440540637,-29.08120972496954,4.369387012413321,0.04502694032414234,1.4483,0.4515,175.52,0.756,1.0038,-0.015252328180190285,-5.4706666666666676e-05,-0.8371053909664886,54.84,-1.0,-1.8369701987210297e-16,2,0.013758211280425158
2024-09-12,58132.32,0.013758211280425158,0.07076328410683212,-0.09674299767387148,49.26562575752615,109.63473201039848,4.1571598611222695,0.31354836733376756,1.4869,0.4588,178.24,0.637,1.0105,0.01787362622517275,-1.8156666666666665e-05,-0.8371053909664886,53.96,-1.0,-1.8369701987210297e-16,3,0.039888515176949337
2024-09-13,60498.0,0.039888515176949337,0.09764446681342485,-0.05872305358881846,56.25043440932373,351.91687919046,4.062575286305686,0.9146254859513119,1.6177,0.4798,185.45,0.714,1.0032,0.03143357231825943,-1.127e-05,-0.8371053909664886,52.51,-1.0,-1.8369701987210297e-16,4,-0.008381917831569096
2024-09-14,59993.03,-0.008381917831569096,0.05044055020261573,-0.06808629985380374,54.52483174797441,462.4112206336639,3.9482620322989153,0.7194977222165022,1.5869,0.4749,184.26,0.764,1.0025,-0.028741922557132794,-1.838e-05,-0.8371053909664886,52.48,-1.0,-1.8369701987210297e-16,5,-0.014456155768720775
2024-09-15,59132.0,-0.014456155768720775,0.025625034070842937,-0.06072409520440142,51.61715341273035,460.7343765464837,3.9255535233163656,0.4438676195125466,1.537,0.467,182.67,0.623,1.0024,-0.020898805544160928,-2.9333333333333337e-07,-0.8371053909664886,53.21,-1.0,-1.8369701987210297e-16,6,-0.01564652918074257
2024-09-16,58213.99,-0.01564652918074257,0.015162123676341831,-0.02042101588388882,48.63897796358761,384.1522720982734,3.91336442154401,0.23124085430233388,1.4856,0.4585,179.98,0.773,1.0085,-0.007857975521859142,4.242666666666667e-05,-0.8371053909664886,53.29,-1.0,-1.8369701987210297e-16,0,0.035438379599161005
2024-09-17,60313.99,0.035438379599161005,0.0368422919950779,0.021435289010015617,55.03084228892588,456.3623489171364,3.946682359299516,0.674931760293086,1.5955,0.477,186.38,0.724,1.0085,0.021542109954782136,5.2556666666666664e-05,-0.8291145024216394,53.12,-1.0,-1.8369701987210297e-16,1,0.023691660342147144
2024-09-18,61759.99,0.023691660342147144,0.02064543716027585,0.039651822976935924,58.830169125776656,575.2702165797524,3.88099859816268,0.8485380799013837,1.6523,0.489,189.91,0.658,1.0158,0.0038927014257403155,2.5566666666666664e-05,-0.8291145024216394,51.59,-1.0,-1.8369701987210297e-16,2,0.01905308607791393
2024-09-19,62947.99,0.01905308607791393,0.04808044106975883,0.06267206566356395,61.69365747803185,699.437893494131,3.796190258432892,0.8869275067258002,1.7429,0.498,195.3,0.783,1.0168,0.021675989541349267,3.511e-05,-0.8291145024216394,51.95,-1.0,-1.8369701987210297e-16,3,0.004012085061529829
2024-09-20,63201.05,0.004012085061529829,0.06654868190000926,0.06922441569256939,62.29525234623746,759.1333950961623,3.7124666933507138,0.8121577920745948,1.7478,0.4991,194.49,0.731,1.0085,-0.009256642522138859,4.3683333333333336e-05,-0.8291145024216394,50.15,-1.0,-1.8369701987210297e-16,4,0.0023375749611005414
2024-09-21,63348.96,0.0023375749611005414,0.08453278604185235,0.10032540597311322,62.664328611642595,766.849003495147,3.5296591524011385,0.7534941315691257,1.7579,0.5002,194.74,0.739,1.0059,0.006770365365603489,7.624e-05,-0.8291145024216394,51.04,-1.0,-1.8369701987210297e-16,5,0.0036209624041565595
2024-09-22,63578.76,0.0036209624041565595,0.05271536884684789,0.07250502079646617,63.26595380922863,745.0583814040821,3.450175222453241,0.7268540455487229,1.7675,0.5017,197.06,0.79,1.0173,0.006634458322250207,7.025333333333333e-05,-0.8291145024216394,51.13,-1.0,-1.8369701987210297e-16,6,-0.0037625690717466927
