date,target_up,next_return,pred_up,prob_up,stage,model_type,position,turnover,cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2025-05-31,1,0.009690618169351017,0,0.47781626551342643,M2_NTV_plus_BTC_market,logistic,0,0.0,0.0,0.0,0.009690618169351017,0.7429390867281002,1.7987234068871685
2025-06-01,1,0.0021715582000447764,0,0.413063825135213,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.0026715582000447764,0.0021715582000447764,0.7409542817188179,1.8026294394510067
2025-06-02,0,-0.004241178746647534,0,0.44323249507485496,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.004241178746647534,-0.004241178746647534,0.7440968012706813,1.794984165784326
2025-06-03,0,-0.0066439151364365845,0,0.43463160978462795,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.0066439151364365845,-0.0066439151364365845,0.7490405172716177,1.7830584433156076
2025-06-04,0,-0.030134359325224014,0,0.4168128393960597,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.030134359325224014,-0.030134359325224014,0.7716123733682324,1.7293271194868605
2025-06-05,1,0.027707252931573167,0,0.4586603758681436,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,0.027707252931573167,0.7712265671815484,1.7772420233879118
2025-06-06,1,0.011737496074678777,0,0.33879372799497165,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.012237496074678778,0.011737496074678777,0.7617886850929763,1.7981023946611816
2025-06-07,1,0.0016855786016509722,0,0.43959821518155456,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.0016855786016509722,0.0016855786016509722,0.7605046303864037,1.8011332375812
2025-06-08,1,0.04253991795791734,0,0.44605605488582345,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.04253991795791734,0.04253991795791734,0.7281528258031499,1.8777532977391822
2025-06-09,0,-0.0003342625487465778,0,0.48087684465403907,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.0003342625487465778,0.7277887493902484,1.8771256351359626
2025-06-10,0,-0.014244955298426398,0,0.42809229527390036,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,0.013744955298426398,-0.014244955298426398,0.7377921732173149,1.8503860643739205
2025-06-11,0,-0.025371753999169577,0,0.4528530559881485,M2_NTV_plus_BTC_market,logistic,0,1.0,0.0005,-0.0005,-0.025371753999169577,0.7374232771307063,1.8034385243451339
2025-06-12,1,0.0015285141831733462,0,0.3863336403239605,M2_NTV_plus_BTC_market,logistic,-1,1.0,0.0005,-0.002028514183173346,0.0015285141831733462,0.7359274035540445,1.8061951057080765
2025-06-13,0,-0.0058304915798971235,0,0.30490522375427614,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,0.0058304915798971235,-0.0058304915798971235,0.740218222083882,1.7956641003525942
2025-06-14,1,0.0007548627203146641,0,0.4213053742661139,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.0007548627203146641,0.0007548627203146641,0.7396594589431332,1.7970195802401576
2025-06-15,1,0.011792615001237072,0,0.4189844668750115,M2_NTV_plus_BTC_market,logistic,-1,0.0,0.0,-0.011792615001237072,0.011792615001237072,0.7309369397117935,1.8182111402996144
