https://www.CryptoDataDownload.com
Date,Total Supply,Marketcap
2024-04-30,19692409.375,1193990165225.0
2024-04-29,19691968.75,1256977749250.0
2024-04-28,19691559.375,1242498013444.0
2024-04-27,19691121.875,1248988169410.0
2024-04-26,19690684.375,1255182675485.0
2024-04-25,19690268.75,1269884502494.0
2024-04-24,19689821.875,1265248263866.0
2024-04-23,19689337.5,1307785486088.0
2024-04-22,19688812.5,1316295559688.0
2024-04-21,19688337.5,1278757520625.0
2024-04-20,19687900.0,1279516621000.0
2024-04-19,19687487.5,1256475139738.0
2024-04-18,19686543.75,1250390826282.0
2024-04-17,19685637.5,1206296494725.0
2024-04-16,19684781.25,1256479587188.0
2024-04-15,19683750.0,1248697732500.0
2024-04-14,19682868.75,1294128937444.0
2024-04-13,19681887.5,1260703621925.0
2024-04-12,19680862.5,1321569916875.0
2024-04-11,19680012.5,1377896075188.0
2024-04-10,19679187.5,1389941013125.0
2024-04-09,19678243.75,1360455381657.0
2024-04-08,19677331.25,1409152722807.0
2024-04-07,19676343.75,1364711849813.0
2024-04-06,19675281.25,1355961357907.0
2024-04-05,19674312.5,1335039823313.0
2024-04-04,19673387.5,1348374632475.0
2024-04-03,19672525.0,1298150579700.0
2024-04-02,19671637.5,1287882435488.0
2024-04-01,19670712.5,1371028990538.0
2024-03-31,19669775.0,1402159910875.0
2024-03-30,19668918.75,1369212440944.0
2024-03-29,19667950.0,1374848708850.0
2024-03-28,19667050.0,1392486141150.0
2024-03-27,19666100.0,1365240328100.0
2024-03-26,19665250.0,1376508504250.0
2024-03-25,19664412.5,1374503104925.0
2024-03-24,19663587.5,1321157116950.0
2024-03-23,19662525.0,1258421262525.0
2024-03-22,19661550.0,1254544520850.0
2024-03-21,19660706.25,1287481348782.0
2024-03-20,19659956.25,1334360550600.0
2024-03-19,19659025.0,1216834670425.0
2024-03-18,19658043.75,1329139312069.0
2024-03-17,19657143.75,1343605089600.0
2024-03-16,19656231.25,1282529776600.0
2024-03-15,19655331.25,1366360007175.0
2024-03-14,19654537.5,1402763995913.0
2024-03-13,19653656.25,1437094998657.0
2024-03-12,19652656.25,1404634300157.0
2024-03-11,19651775.0,1417246709450.0
2024-03-10,19650712.5,1356410081025.0
2024-03-09,19649818.75,1345285541082.0
2024-03-08,19648800.0,1341718308000.0
2024-03-07,19647837.5,1315245890088.0
2024-03-06,19646712.5,1299040630500.0
2024-03-05,19645837.5,1253325849150.0
2024-03-04,19644793.75,1342898455957.0
2024-03-03,19643987.5,1240360658725.0
2024-03-02,19643018.75,1218692169288.0
2024-03-01,19642225.0,1226539097900.0
2024-02-29,19641262.5,1201279255763.0
2024-02-28,19640431.25,1227762638300.0
2024-02-27,19639500.0,1120786986000.0
2024-02-26,19638693.75,1070780138025.0
2024-02-25,19637862.5,1015709524225.0
2024-02-24,19636837.5,1012514615175.0
2024-02-23,19635981.25,996388596569.0
2024-02-22,19634987.5,1006352014338.0
2024-02-21,19634143.75,1017892914432.0
2024-02-20,19633281.25,1026329777344.0
2024-02-19,19632400.0,1016742363600.0
2024-02-18,19631550.0,1023392701500.0
2024-02-17,19630793.75,1014205328300.0
2024-02-16,19629856.25,1023912931857.0
2024-02-15,19629018.75,1019570491913.0
2024-02-14,19628037.5,1017595976150.0
2024-02-13,19627168.75,975862830250.0
2024-02-12,19626325.0,980079791525.0
2024-02-11,19625206.25,948152589557.0
2024-02-10,19624350.0,937455199500.0
2024-02-09,19623400.0,925459167400.0
2024-02-08,19622362.5,888893021250.0
2024-02-07,19621500.0,870135039000.0
2024-02-06,19620500.0,845486586000.0
2024-02-05,19619437.5,836945584313.0
2024-02-04,19618462.5,835157948625.0
2024-02-03,19617493.75,843434526288.0
2024-02-02,19616550.0,847101478650.0
2024-02-01,19615375.0,844853816625.0
2024-01-31,19614418.75,834750433163.0
2024-01-30,19613600.0,842325665600.0
2024-01-29,19612700.0,849327973500.0
2024-01-28,19611725.0,824202354850.0
2024-01-27,19610725.0,826082179900.0
2024-01-26,19609656.25,820036605063.0
2024-01-25,19608706.25,782701118675.0
2024-01-24,19607575.0,785753960550.0
2024-01-23,19606637.5,781677423850.0
2024-01-22,19605675.0,774973121400.0
2024-01-21,19604675.0,814770293000.0
2024-01-20,19603800.0,816949157400.0
2024-01-19,19602906.25,816029781375.0
2024-01-18,19602081.25,809232720244.0
2024-01-17,19601193.75,837715818488.0
2024-01-16,19600437.5,845386469813.0
2024-01-15,19599656.25,832848193032.0
2024-01-14,19598943.75,817569938532.0
2024-01-13,19598143.75,839643272682.0
2024-01-12,19597150.0,838326882700.0
2024-01-11,19596100.0,908475196000.0
2024-01-10,19595018.75,914715070269.0
2024-01-09,19594187.5,903762304250.0
