candidate_id,horizon_h,rule_text,family,side,feature_family,n_conditions,fires_train,episodes_train,indep_windows,low_power,ctx_drop1h_pct,ctx_rvol,ctx_funding,fwd_rvol,mfe_pct,mae_pct,gross_train,net_train,p_block_train,p_episode_train,p_maxstat,q_fdr,effect_size,status,shadow_eligible,train_status,net_train_ci_lo,val_episodes,val_net,val_p_block,val_p_episode,test_net,test_p_block,test_episodes,run_id,audit_hash
btc_regime_reversal_uptrend_ret1lo10__trend30dhiT_4h_long_v2,4,klines__ret__1h<=-0.00669654 AND trend30d>=0.127643,regime_reversal_uptrend,long,ret1+trend30d,2,2171,1767,14927,False,-1.425,0.01091,0.000348,0.01027,1.068,-0.794,0.002226470976837269,0.000226,0.0005,0.0043,0.02149,0.00144,0.002226,COST_FAIL,False,INFORMATION_PASS,-0.000967,,,,,,,,c7e3b83a3f4f,81636c8a16fd669b
btc_regime_reversal_downtrend_ret1lo10__trend7dloT_4h_long_v2,4,klines__ret__1h<=-0.00669654 AND trend7d<=-0.0213664,regime_reversal_downtrend,long,ret1+trend7d,2,2821,2233,14927,False,-1.58,0.01192,6.7e-05,0.01167,1.181,-0.919,0.0016371784364434267,-0.000363,0.0005,0.00029,0.13593,0.00144,0.001637,EFFECT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,4d8c9e5d39ffc1f0
btc_regime_reversal_downtrend_ret1lo10__trend30dloT_4h_long_v2,4,klines__ret__1h<=-0.00669654 AND trend30d<=-0.0481183,regime_reversal_downtrend,long,ret1+trend30d,2,2416,1934,14927,False,-1.506,0.01113,4.1e-05,0.01056,1.045,-0.876,0.0008597618705923906,-0.00114,0.04948,0.08067,0.81709,0.09188,0.00086,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,05baebdb2a410fab
btc_regime_momentum_ret6hi10__trend30dhiT_4h_long_v2,4,ret6>=0.0188872 AND trend30d>=0.127643,regime_momentum,long,ret6+trend30d,2,2647,832,14927,False,0.588,0.01048,0.000284,0.00928,0.844,-0.829,0.0002201995318649718,-0.00178,0.57221,0.53995,1.0,0.6513,0.00022,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,13496995ca804ea0
btc_regime_momentum_ret12hi10__trend30dhiT_4h_long_v2,4,ret12>=0.0282449 AND trend30d>=0.127643,regime_momentum,long,ret12+trend30d,2,2810,583,14927,False,0.441,0.01046,0.000328,0.00908,0.93,-0.723,0.0016334400093507807,-0.000367,0.0015,0.0163,0.13943,0.00325,0.001633,EFFECT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,406d9c171d4c2159
btc_mean_reversion_ret1lo10_8h_long_v2,8,klines__ret__1h<=-0.00669654,mean_reversion,long,ret1,1,5959,4847,7463,False,-1.44,0.01054,0.000176,0.01017,1.641,-1.428,0.0020180341868104683,1.8e-05,0.0005,0.00015,0.46377,0.00144,0.002018,COST_FAIL,False,INFORMATION_PASS,-0.001256,,,,,,,,c7e3b83a3f4f,910f0386041c2968
btc_mean_reversion_ret24lo10_8h_long_v2,8,klines__ret__24h<=-0.0379468,mean_reversion,long,ret24,1,5956,916,7463,False,-0.301,0.01225,9.9e-05,0.01166,1.727,-1.723,0.001239694345728487,-0.00076,0.11244,0.1711,0.92954,0.17197,0.00124,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,316caf9aea07e6ce
btc_mean_reversion_ret1lo10__ntaklo10_8h_long_v2,8,klines__ret__1h<=-0.00669654 AND nettaker__net__1d<=-12941.8,mean_reversion,long,ntak+ret1,2,453,363,7463,False,-1.543,0.01134,0.00013,0.01089,1.886,-1.345,0.005988079066475119,0.003988,0.0005,0.00027,0.0005,0.00144,0.005988,COST_FAIL,False,INFORMATION_PASS,-0.000985,,,,,,,,c7e3b83a3f4f,8c8f233b8334c7bd
btc_mean_reversion_ret1lo10__fundlo10_8h_long_v2,8,klines__ret__1h<=-0.00669654 AND funding__rate__asof<=-1.4552e-05,mean_reversion,long,fund+ret1,2,444,368,7463,False,-1.484,0.01257,-0.000168,0.01149,2.205,-1.475,0.0074431957249679005,0.005443,0.0005,3e-05,0.0005,0.00144,0.007443,SHADOW_ELIGIBLE,True,INFORMATION_PASS,0.00127,39.0,0.011194,0.0005,0.00023,0.003563,0.0005,78.0,c7e3b83a3f4f,90520cfb661dd7b6
btc_mean_reversion_ret24lo10__ret1lo10_8h_long_v2,8,klines__ret__24h<=-0.0379468 AND klines__ret__1h<=-0.00669654,mean_reversion,long,ret1+ret24,2,1761,1325,7463,False,-1.892,0.01356,0.000115,0.01443,2.372,-1.885,0.004380825869969917,0.002381,0.0005,0.0001,0.0035,0.00144,0.004381,COST_FAIL,False,INFORMATION_PASS,-0.000882,,,,,,,,c7e3b83a3f4f,1fc95113e35a03f0
btc_mean_reversion_ret1lo10__rvolhi10_8h_long_v2,8,klines__ret__1h<=-0.00669654 AND klines__rvol__24h>=0.012235,mean_reversion,long,ret1+rvol,2,1668,1234,7463,False,-2.015,0.01884,0.000179,0.01688,2.85,-2.201,0.006028748328461204,0.004029,0.0005,3e-05,0.0005,0.00144,0.006029,VAL_FAIL,False,INFORMATION_PASS,0.000548,29.0,0.002457,0.12444,0.12696,0.006129,0.08296,6.0,c7e3b83a3f4f,c1427f7f982dd52b
btc_mean_reversion_ret1lo10__tkbuylo10_8h_long_v2,8,klines__ret__1h<=-0.00669654 AND klines__takerbuyfrac__1h<=0.433088,mean_reversion,long,ret1+tkbuy,2,1406,1308,7463,False,-1.715,0.00983,0.000184,0.00988,1.571,-1.334,0.002300659778150396,0.000301,0.005,0.00686,0.30435,0.01181,0.002301,COST_FAIL,False,INFORMATION_PASS,-0.001826,,,,,,,,c7e3b83a3f4f,06b437a7d679fab7
btc_momentum_up_ret6hi10_8h_long_v2,8,ret6>=0.0188872,momentum_up,long,ret6,1,5958,1942,7463,False,0.58,0.01082,0.000147,0.00916,1.396,-1.337,0.0009353373032257639,-0.001065,0.21839,0.26664,0.991,0.31545,0.000935,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,30bf93f06cb55db7
btc_momentum_up_ret12hi10_8h_long_v2,8,ret12>=0.0282449,momentum_up,long,ret12,1,5958,1315,7463,False,0.41,0.01082,0.000186,0.00905,1.462,-1.233,0.00251853897988491,0.000519,0.0005,0.00208,0.22039,0.00144,0.002519,COST_FAIL,False,INFORMATION_PASS,-0.000802,,,,,,,,c7e3b83a3f4f,8087552abcb2ece6
btc_momentum_up_ret24hi10_8h_long_v2,8,klines__ret__24h>=0.043055,momentum_up,long,ret24,1,5956,958,7463,False,0.298,0.01074,0.000242,0.00913,1.446,-1.291,0.0014106239039317011,-0.000589,0.06797,0.10954,0.85057,0.11781,0.001411,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,ef93f2a06442268b
btc_momentum_up_ret1hi10__ret6hi10_8h_long_v2,8,klines__ret__1h>=0.00692382 AND ret6>=0.0188872,momentum_up,long,ret1+ret6,2,2169,1745,7463,False,1.776,0.01196,0.000143,0.01022,1.463,-1.54,0.0005602226654026265,-0.00144,0.51574,0.51436,1.0,0.62605,0.00056,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,cd60d7e3d06762cb
btc_momentum_up_ret3hi10__ret12hi10_8h_long_v2,8,ret3>=0.012495 AND ret12>=0.0282449,momentum_up,long,ret12+ret3,2,2387,1106,7463,False,0.983,0.01151,0.000175,0.00985,1.502,-1.384,0.0019853087192915836,-1.5e-05,0.01899,0.03548,0.48476,0.04115,0.001985,EFFECT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,9181acb876d1824b
btc_momentum_up_ret6hi10__ret24hi10_8h_long_v2,8,ret6>=0.0188872 AND klines__ret__24h>=0.043055,momentum_up,long,ret24+ret6,2,2444,795,7463,False,0.678,0.01131,0.000227,0.01,1.558,-1.394,0.001942457399184195,-5.8e-05,0.03998,0.06606,0.50625,0.07996,0.001942,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,096ac98334dbeac6
btc_momentum_down_ret6lo10_8h_short_v2,8,ret6<=-0.0173496,momentum_down,short,ret6,1,5958,1866,7463,False,-0.591,0.0108,0.000181,0.01067,1.624,-1.528,-0.0012379600432283714,-0.003238,0.92504,0.88032,0.9965,1.0,0.001238,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,c76b81ab39ddf0c9
btc_momentum_down_ret12lo10_8h_short_v2,8,ret12<=-0.0256696,momentum_down,short,ret12,1,5958,1289,7463,False,-0.415,0.01121,0.000154,0.01108,1.58,-1.705,0.0003804336952213304,-0.00162,0.03298,0.06403,0.34433,0.29685,0.00038,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,b027551c23bb4e9f
btc_momentum_down_ret24lo10_8h_short_v2,8,klines__ret__24h<=-0.0379468,momentum_down,short,ret24,1,5956,916,7463,False,-0.301,0.01225,9.9e-05,0.01166,1.727,-1.723,-0.001239694345728487,-0.00324,0.88806,0.82893,0.9965,1.0,0.00124,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,c2d0e0f5b9461f07
btc_momentum_down_ret1lo10__ret6lo10_8h_short_v2,8,klines__ret__1h<=-0.00669654 AND ret6<=-0.0173496,momentum_down,short,ret1+ret6,2,2345,1867,7463,False,-1.876,0.01165,0.000188,0.01214,2.007,-1.561,-0.00326239757974249,-0.005262,1.0,0.99982,1.0,1.0,0.003262,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,749da415e4ccbd17
btc_momentum_down_ret3lo10__ret12lo10_8h_short_v2,8,ret3<=-0.0119635 AND ret12<=-0.0256696,momentum_down,short,ret12+ret3,2,2596,1140,7463,False,-1.045,0.01181,0.000183,0.01279,1.949,-1.733,-0.002379598212059957,-0.00438,0.9955,0.99065,1.0,1.0,0.00238,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,285096efe877a4ec
btc_momentum_down_ret6lo10__ret24lo10_8h_short_v2,8,ret6<=-0.0173496 AND klines__ret__24h<=-0.0379468,momentum_down,short,ret24+ret6,2,2665,823,7463,False,-0.725,0.0127,0.000147,0.01348,2.099,-1.822,-0.0028903564467852817,-0.00489,0.999,0.99564,1.0,1.0,0.00289,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,3cb57530614df520
