candidate_id,rule_text,feature_family,n_conditions,horizon,side,fires_train,episodes_train,gross_train,net_train,p_iid,p_block_train,p_episode_train,p_maxstat,q_fdr,effect_size,audit_hash,train_status,net_train_ci_lo,val_episodes,val_gross,val_net,val_p_block,val_p_episode,test_net,test_p_block,test_episodes,status,shadow_eligible,reason
btc_fundlo10__tkbuyhi10_24h_long_v1,funding__rate__asof<=-1.428e-05 AND klines__takerbuyfrac__1h>=0.567401,fund+tkbuy,2,24h,long,190,167,0.006920917446315788,0.004921,0.02866,0.07797,0.11023,0.93369,0.17859,0.006921,98170e5e6c3e,,,,,,,,,,,MCPT_FAIL,False,p_block 0.07797 p_epis 0.11023 q_fdr 0.17859
btc_fundhi10__tkbuylo10_24h_long_v1,funding__rate__asof>=0.00035489 AND klines__takerbuyfrac__1h<=0.433034,fund+tkbuy,2,24h,long,313,248,-0.004017767111501597,-0.006018,0.996,0.96235,0.93799,1.0,0.97553,0.004018,fc047b0f40a5,,,,,,,,,,,MCPT_FAIL,False,p_block 0.96235 p_epis 0.93799 q_fdr 0.97553
btc_fundhi10__tkbuyhi10_24h_long_v1,funding__rate__asof>=0.00035489 AND klines__takerbuyfrac__1h>=0.567401,fund+tkbuy,2,24h,long,208,179,0.0032348317562499998,0.001235,0.2989,0.34089,0.34551,1.0,0.55428,0.003235,260dd35a4f63,,,,,,,,,,,MCPT_FAIL,False,p_block 0.34089 p_epis 0.34551 q_fdr 0.55428
btc_fundlo10__ntaklo10_24h_long_v1,funding__rate__asof<=-1.428e-05 AND nettaker__net__1d<=-12941.8,fund+ntak,2,24h,long,373,33,0.011199620308042897,0.0092,0.00033,0.05365,0.07864,0.42986,0.15269,0.0112,4e84d0f10607,,,,,,,,,,,MCPT_FAIL,False,p_block 0.05365 p_epis 0.07864 q_fdr 0.15269
btc_fundlo10__ntakhi10_24h_long_v1,funding__rate__asof<=-1.428e-05 AND nettaker__net__1d>=11397.2,fund+ntak,2,24h,long,757,57,0.015556676984015853,0.013557,0.00033,0.00167,0.00484,0.11063,0.01233,0.015557,223ba051dd8d,INFORMATION_PASS,0.003264,1.0,0.0190824426875,0.017082,0.21256,0.19309,-0.005301,0.60968,5.0,VAL_FAIL,False,val net 171bps p 0.21256/0.19309
btc_fundhi10__ntaklo10_24h_long_v1,funding__rate__asof>=0.00035489 AND nettaker__net__1d<=-12941.8,fund+ntak,2,24h,long,335,25,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,fires 335/episodes 25 < min
btc_fundhi10__ntakhi10_24h_long_v1,funding__rate__asof>=0.00035489 AND nettaker__net__1d>=11397.2,fund+ntak,2,24h,long,101,8,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,fires 101/episodes 8 < min
btc_ret24lo10__ret1lo10_24h_long_v1,klines__ret__24h<=-0.0379572 AND klines__ret__1h<=-0.0066951,ret1+ret24,2,24h,long,1765,1328,0.009605196686118984,0.007605,0.00033,0.00033,0.00023,0.63845,0.00493,0.009605,8a0a83a139c0,INFORMATION_PASS,0.001347,98.0,0.015234597645454546,0.013235,0.0002,0.0016,0.002047,0.07758,74.0,SHADOW_ELIGIBLE,True,passed effect+cost+val
btc_ret24lo10__ret1hi10_24h_long_v1,klines__ret__24h<=-0.0379572 AND klines__ret__1h>=0.00692051,ret1+ret24,2,24h,long,920,771,0.007450899005326088,0.005451,0.00033,0.00333,0.01636,0.8917,0.01897,0.007451,4f1f367f36f5,INFORMATION_PASS,-0.000284,,,,,,,,,COST_FAIL,False,net 55bps / CI_lo -3bps
btc_ret24hi10__ret1lo10_24h_long_v1,klines__ret__24h>=0.042982 AND klines__ret__1h<=-0.0066951,ret1+ret24,2,24h,long,670,592,0.0023285676953731346,0.000329,0.34922,0.39354,0.40823,1.0,0.61441,0.002329,933bbdda7631,,,,,,,,,,,MCPT_FAIL,False,p_block 0.39354 p_epis 0.40823 q_fdr 0.61441
