,Unix,Date,Symbol,funding_interval_hours,last_funding_rate
204,1745424000000,2025-04-23T16:00:00,BTCUSDT,8,4.587e-05
205,1745395200002,2025-04-23T08:00:00,BTCUSDT,8,1.374e-05
206,1745366400000,2025-04-23T00:00:00,BTCUSDT,8,-1.389e-05
207,1745337600000,2025-04-22T16:00:00,BTCUSDT,8,-7.045e-05
208,1745308800000,2025-04-22T08:00:00,BTCUSDT,8,-7.44e-06
209,1745280000008,2025-04-22T00:00:00,BTCUSDT,8,7.749e-05
210,1745251200003,2025-04-21T16:00:00,BTCUSDT,8,1.553e-05
211,1745222400005,2025-04-21T08:00:00,BTCUSDT,8,5.403e-05
212,1745193600000,2025-04-21T00:00:00,BTCUSDT,8,5.232e-05
213,1745164800000,2025-04-20T16:00:00,BTCUSDT,8,-2.258e-05
214,1745136000000,2025-04-20T08:00:00,BTCUSDT,8,-1.078e-05
215,1745107200000,2025-04-20T00:00:00,BTCUSDT,8,-2.98e-06
216,1745078400000,2025-04-19T16:00:00,BTCUSDT,8,-1.953e-05
217,1745049600000,2025-04-19T08:00:00,BTCUSDT,8,6.024e-05
218,1745020800000,2025-04-19T00:00:00,BTCUSDT,8,2.93e-05
219,1744992000000,2025-04-18T16:00:00,BTCUSDT,8,2.995e-05
220,1744963200000,2025-04-18T08:00:00,BTCUSDT,8,7.071e-05
221,1744934400000,2025-04-18T00:00:00,BTCUSDT,8,1.788e-05
222,1744905600001,2025-04-17T16:00:00,BTCUSDT,8,3.425e-05
223,1744876800000,2025-04-17T08:00:00,BTCUSDT,8,5.679e-05
224,1744848000001,2025-04-17T00:00:00,BTCUSDT,8,1.404e-05
225,1744819200000,2025-04-16T16:00:00,BTCUSDT,8,1.978e-05
226,1744790400000,2025-04-16T08:00:00,BTCUSDT,8,6.917e-05
227,1744761600000,2025-04-16T00:00:00,BTCUSDT,8,2.428e-05
228,1744732800001,2025-04-15T16:00:00,BTCUSDT,8,1.883e-05
229,1744704000000,2025-04-15T08:00:00,BTCUSDT,8,6.606e-05
230,1744675200000,2025-04-15T00:00:00,BTCUSDT,8,-2.073e-05
231,1744646400000,2025-04-14T16:00:00,BTCUSDT,8,2.428e-05
232,1744617600000,2025-04-14T08:00:00,BTCUSDT,8,7.127e-05
233,1744588800000,2025-04-14T00:00:00,BTCUSDT,8,8.113e-05
234,1744560000000,2025-04-13T16:00:00,BTCUSDT,8,9.642e-05
235,1744531200000,2025-04-13T08:00:00,BTCUSDT,8,8.429e-05
236,1744502400000,2025-04-13T00:00:00,BTCUSDT,8,5.057e-05
237,1744473600000,2025-04-12T16:00:00,BTCUSDT,8,5.388e-05
238,1744444800001,2025-04-12T08:00:00,BTCUSDT,8,5.64e-05
239,1744416000000,2025-04-12T00:00:00,BTCUSDT,8,3.654e-05
240,1744387200000,2025-04-11T16:00:00,BTCUSDT,8,3.29e-05
241,1744358400000,2025-04-11T08:00:00,BTCUSDT,8,-4.294e-05
242,1744329600001,2025-04-11T00:00:00,BTCUSDT,8,2.065e-05
243,1744300800000,2025-04-10T16:00:00,BTCUSDT,8,6.775e-05
244,1744272000000,2025-04-10T08:00:00,BTCUSDT,8,1.14e-06
245,1744243200000,2025-04-10T00:00:00,BTCUSDT,8,7.705e-05
246,1744214400000,2025-04-09T16:00:00,BTCUSDT,8,6.856e-05
247,1744185600001,2025-04-09T08:00:00,BTCUSDT,8,-2.252e-05
248,1744156800000,2025-04-09T00:00:00,BTCUSDT,8,9.568e-05
249,1744128000000,2025-04-08T16:00:00,BTCUSDT,8,3.134e-05
250,1744099200000,2025-04-08T08:00:00,BTCUSDT,8,3.575e-05
251,1744070400000,2025-04-08T00:00:00,BTCUSDT,8,4.074e-05
252,1744041600000,2025-04-07T16:00:00,BTCUSDT,8,4.998e-05
253,1744012800000,2025-04-07T08:00:00,BTCUSDT,8,6.857e-05
254,1743984000000,2025-04-07T00:00:00,BTCUSDT,8,4.946e-05
255,1743955200002,2025-04-06T16:00:00,BTCUSDT,8,-6.03e-06
256,1743926400000,2025-04-06T08:00:00,BTCUSDT,8,5.363e-05
257,1743897600000,2025-04-06T00:00:00,BTCUSDT,8,2.21e-06
258,1743868800000,2025-04-05T16:00:00,BTCUSDT,8,4.08e-06
259,1743840000000,2025-04-05T08:00:00,BTCUSDT,8,7.437e-05
260,1743811200000,2025-04-05T00:00:00,BTCUSDT,8,8.559e-05
261,1743782400000,2025-04-04T16:00:00,BTCUSDT,8,8.038e-05
262,1743753600000,2025-04-04T08:00:00,BTCUSDT,8,4.736e-05
263,1743724800000,2025-04-04T00:00:00,BTCUSDT,8,4.283e-05
264,1743696000000,2025-04-03T16:00:00,BTCUSDT,8,6.484e-05
265,1743667200000,2025-04-03T08:00:00,BTCUSDT,8,5.038e-05
266,1743638400000,2025-04-03T00:00:00,BTCUSDT,8,5.862e-05
267,1743609600000,2025-04-02T16:00:00,BTCUSDT,8,7.33e-06
268,1743580800000,2025-04-02T08:00:00,BTCUSDT,8,3.036e-05
269,1743552000001,2025-04-02T00:00:00,BTCUSDT,8,-2.112e-05
270,1743523200000,2025-04-01T16:00:00,BTCUSDT,8,3.573e-05
271,1743494400001,2025-04-01T08:00:00,BTCUSDT,8,2.889e-05
272,1743465600000,2025-04-01T00:00:00,BTCUSDT,8,3.961e-05
273,1743436800000,2025-03-31T16:00:00,BTCUSDT,8,1.845e-05
274,1743408000000,2025-03-31T08:00:00,BTCUSDT,8,6.02e-05
275,1743379200000,2025-03-31T00:00:00,BTCUSDT,8,2.643e-05
276,1743350400000,2025-03-30T16:00:00,BTCUSDT,8,4.588e-05
277,1743321600000,2025-03-30T08:00:00,BTCUSDT,8,4.27e-06
278,1743292800000,2025-03-30T00:00:00,BTCUSDT,8,3.41e-06
279,1743264000000,2025-03-29T16:00:00,BTCUSDT,8,2.53e-05
