timestamp,sum_oi,sum_oi_value
1781193600000,101359.25700000,6357364094.22270000
1781197200000,101206.84300000,6330266143.18040800
1781200800000,100899.19300000,6418769591.13952500
1781204400000,100036.92900000,6344942258.75400000
1781208000000,99274.05400000,6312095466.31985600
1781211600000,98768.68700000,6258195752.63922400
1781215200000,98827.90600000,6274307033.80320000
1781218800000,98822.88500000,6272001924.58350000
1781222400000,98329.49200000,6253559032.21600000
1781226000000,98253.81200000,6250887363.88095500
1781229600000,98486.35000000,6244320200.41500000
1781233200000,98166.04900000,6242310339.67570000
1781236800000,98322.84400000,6242837275.32042200
1781240400000,99340.33400000,6325173861.57665000
1781244000000,98468.94700000,6235458112.45844900
1781247600000,98213.11300000,6183104742.02800000
1781251200000,98217.07000000,6193951573.29642700
1781254800000,98014.62800000,6218415562.98774600
1781258400000,98398.08800000,6270860949.19600000
1781262000000,98425.26600000,6266363759.96980900
1781265600000,98744.38200000,6292930092.66900000
1781269200000,98434.23500000,6244047732.71950000
1781272800000,98227.47700000,6208659859.43735400
1781276400000,98408.77800000,6295317778.31580000
1781280000000,99055.67200000,6296770957.69600000
1781283600000,98644.76200000,6308466510.93118100
1781287200000,98650.11500000,6297507661.23200000
1781290800000,98375.87200000,6262913273.27628200
1781294400000,98193.51700000,6241022830.89280000
1781298000000,97738.04900000,6198185436.79870000
1781301600000,97657.95000000,6196671005.24469500
1781305200000,97799.30300000,6208573592.48840000
1781308800000,97795.59400000,6214606832.35860000
1781312400000,97912.02800000,6224646899.22833900
1781316000000,98052.44000000,6255853529.68400000
1781319600000,98278.77600000,6252228203.82995200
1781323200000,98605.89000000,6260921822.01600000
1781326800000,98543.02500000,6255038220.48000000
1781330400000,98596.96800000,6266320441.54320000
1781334000000,98553.96600000,6278296146.81676000
1781337600000,98149.76300000,6264290843.75940000
1781341200000,98383.45400000,6274360176.21232500
1781344800000,98518.10100000,6276588214.71000000
1781348400000,98698.59400000,6298264165.67752100
1781352000000,98765.15700000,6314658954.46770000
1781355600000,98954.66800000,6343239864.44178000
1781359200000,99454.44200000,6372922273.93526300
1781362800000,99723.11400000,6400748016.71280000
1781366400000,99955.90400000,6423666170.56000000
1781370000000,99499.91300000,6367994432.00000000
1781373600000,99921.23700000,6389283743.60710100
1781377200000,100084.98100000,6418289286.51708600
1781380800000,100736.25000000,6473339004.38013400
1781384400000,100709.93700000,6470922121.41200500
1781388000000,100172.18500000,6454624792.13050000
1781391600000,100129.20300000,6450359505.48235800
1781395200000,100142.27300000,6451335468.52410000
1781398800000,100282.04900000,6470527830.15452900
1781402400000,100634.19000000,6496630437.62067500
1781406000000,100518.87700000,6478619640.12464800
1781409600000,100760.92000000,6500591490.52253500
1781413200000,100565.85800000,6467053137.21703150
1781416800000,100628.43600000,6474403383.70920000
1781420400000,100522.54200000,6459377503.83600000
1781424000000,100503.45600000,6471690763.36867400
1781427600000,100586.93200000,6480121978.92920000
1781431200000,100791.03600000,6509569473.73206700
1781434800000,100910.95400000,6507283233.07160000
1781438400000,100940.30300000,6511830545.04510000
1781442000000,101156.87400000,6504245259.52386400
1781445600000,101260.48900000,6508437140.01358700
1781449200000,100976.58300000,6458250197.85570000
1781452800000,100948.83000000,6460240565.61600000
1781456400000,101020.42000000,6456967862.42400550
1781460000000,100989.20500000,6434070407.76442000
1781463600000,100702.17600000,6423575144.11907100
1781467200000,100732.39100000,6424449993.76340000
1781470800000,100688.83700000,6441880482.46970000
1781474400000,101100.46800000,6601102306.89000000
1781478000000,101580.79000000,6642276435.38900000
1781481600000,101679.08300000,6681322376.02170000
1781485200000,101884.87300000,6682771458.89220000
1781488800000,102025.04300000,6680865080.75180000
1781492400000,102073.12000000,6679181136.59591200
1781496000000,103222.30200000,6801792301.36920000
1781499600000,102960.39800000,6755462882.74796700
1781503200000,103195.30200000,6793445917.04845100
1781506800000,103198.03400000,6787783807.29339200
1781510400000,103222.98200000,6775804273.63680000
1781514000000,103224.34300000,6774623267.60576600
1781517600000,103178.86200000,6764472808.13304000
1781521200000,104082.54000000,6857446923.13800000
1781524800000,103752.57000000,6867699818.25032700
1781528400000,104823.57900000,6973755475.50150000
1781532000000,104178.46200000,6918585422.03580000
1781535600000,104422.74500000,6950258835.75978800
1781539200000,104333.10300000,7015357845.72000000
1781542800000,104601.04600000,7021186124.28170100
1781546400000,103907.85200000,6943223949.63893000
1781550000000,103729.01600000,6921566659.78972800
1781553600000,103707.19400000,6902149330.91480000
1781557200000,103722.48500000,6896466538.65600000
1781560800000,103415.08700000,6860246626.31900000
1781564400000,103252.88900000,6832407241.64845600
1781568000000,103300.77900000,6847516496.32395300
1781571600000,103271.87900000,6838333357.36720000
1781575200000,103361.96600000,6853921629.26340000
1781578800000,103188.99600000,6780961683.14400000
1781582400000,103268.76000000,6829023955.37121400
1781586000000,103696.46800000,6824607892.33350500
1781589600000,103638.10800000,6843234635.05080000
1781593200000,103571.30700000,6877982806.39799000
1781596800000,103588.81700000,6872268579.65060000
1781600400000,103775.15800000,6937794790.44780000
1781604000000,104047.28700000,6916963917.22137450
1781607600000,104308.68400000,6934789002.64244900
1781611200000,104029.68000000,6913084325.04000000
1781614800000,104195.65900000,6918205073.91921100
1781618400000,104031.93200000,6868618600.09765200
1781622000000,103359.42300000,6783489267.43230000
1781625600000,103110.94200000,6789010020.97560000
1781629200000,103179.20300000,6782051556.55240000
1781632800000,103042.08100000,6795862144.65475800
1781636400000,102766.32700000,6764336558.95750000
1781640000000,102894.02700000,6755249660.99774500
1781643600000,102804.36500000,6766994521.76000000
1781647200000,102442.57700000,6734867526.36582400
