timestamp,datetime,sum_open_interest,sum_open_interest_value,long_short_ratio,top_long_short_account_ratio,top_long_short_position_ratio,taker_long_short_vol_ratio
1783081200000,2026-07-03 12:20:00,109564.95000000,6785372143.18065400,1.7159,1.8458,1.1993,0.8989
1783081500000,2026-07-03 12:25:00,109564.06700000,6788918328.77534200,1.7122,1.8417,1.1998,0.6526
1783081800000,2026-07-03 12:30:00,109513.23300000,6782132617.04340000,1.7071,1.8377,1.1996,1.0642
1783082100000,2026-07-03 12:35:00,109487.03500000,6780269308.66600000,1.7012,1.8321,1.1998,0.6806
1783082400000,2026-07-03 12:40:00,109428.81300000,6771268208.96397400,1.6940,1.8273,1.2009,1.5051
1783082700000,2026-07-03 12:45:00,109430.70600000,6773749758.32940000,1.6940,1.8273,1.2006,1.7337
1783083000000,2026-07-03 12:50:00,109435.06200000,6776214824.88727400,1.6947,1.8281,1.2012,2.1441
1783083300000,2026-07-03 12:55:00,109518.67200000,6784579750.26289100,1.6947,1.8273,1.2023,1.0928
1783083600000,2026-07-03 13:00:00,109518.48000000,6785199837.30189700,1.6932,1.8265,1.2020,0.7846
1783083900000,2026-07-03 13:05:00,109533.87500000,6789000106.21610000,1.6954,1.8289,1.2034,0.3659
1783084200000,2026-07-03 13:10:00,109366.73900000,6777642739.28630000,1.6940,1.8273,1.2017,1.4631
1783084500000,2026-07-03 13:15:00,109365.05500000,6784269316.83969900,1.6940,1.8273,1.2018,0.8745
1783084800000,2026-07-03 13:20:00,109403.29400000,6782617917.83360300,1.6954,1.8281,1.2011,1.0271
1783085100000,2026-07-03 13:25:00,109426.91700000,6785585008.55340000,1.6940,1.8265,1.1998,0.8690
1783085400000,2026-07-03 13:30:00,109428.80000000,6792369682.88485000,1.6947,1.8265,1.1977,0.7332
1783085700000,2026-07-03 13:35:00,109443.27600000,6788379450.57929200,1.6932,1.8241,1.1980,0.4649
1783086000000,2026-07-03 13:40:00,109459.68700000,6788142489.30500000,1.6896,1.8209,1.1978,1.7089
1783086300000,2026-07-03 13:45:00,109578.70300000,6807861828.50280000,1.6896,1.8193,1.1975,0.8179
1783086600000,2026-07-03 13:50:00,109621.99600000,6802329868.98960000,1.6882,1.8177,1.1984,2.0189
1783086900000,2026-07-03 13:55:00,109530.12700000,6802894281.94460000,1.7130,1.8329,1.1962,0.6550
1783087200000,2026-07-03 14:00:00,109422.28800000,6793693156.06009200,1.7071,1.8265,1.1940,0.7146
1783087500000,2026-07-03 14:05:00,109346.16200000,6778311944.23802950,1.6969,1.8193,1.1940,0.8452
1783087800000,2026-07-03 14:10:00,109396.62000000,6778827196.27200000,1.6903,1.8145,1.1937,0.4456
1783088100000,2026-07-03 14:15:00,109102.79200000,6735930006.12560000,1.6774,1.8082,1.1889,1.2651
1783088400000,2026-07-03 14:20:00,109166.41300000,6743897079.41190000,1.6752,1.8082,1.1904,0.9813
1783088700000,2026-07-03 14:25:00,109154.00300000,6749253975.09720000,1.6738,1.8066,1.1886,1.5241
1783089000000,2026-07-03 14:30:00,109187.78600000,6758642965.33821700,1.6724,1.8050,1.1879,0.9738
1783089300000,2026-07-03 14:35:00,109182.08200000,6752267597.41620000,1.6695,1.8027,1.1885,1.3844
